"name","group","size","id","location","state"
"JasonSchwarz44","Retweet",0.1,171,"","Unknown"
"PetersonSeed","Retweet",0.1,172,"Williamsport, IN","Indiana"
"CKSeeds","Retweet",0.1,173,"Clark SD","South Dakota"
"MattPowe1","Both",34,174,"Iola, KS","Kansas"
"dikeman","Retweet",0.1,175,"Indiana","Indiana"
"TimKaus","Retweet",0.1,176,"Northwest illinois","Unknown"
"Heim2Nathan","Retweet",0.1,177,"","Unknown"
"jdouglass05","Retweet",0.1,178,"","Unknown"
"sognvalleymom","Both",34,179,"Minnesota","Unknown"
"HaslerTim","Retweet",0.1,180,"","Unknown"
"DornJoel","Retweet",0.1,181,"Minnesota, USA","Minnesota"
"JoshShofner","Retweet",0.1,182,"Zumbrota, MN","Minnesota"
"farmerfuchs","Retweet",0.1,183,"Faribault","Minnesota"
"gerrad_eide","Retweet",0.1,184,"Minnesota, USA","Minnesota"
"horob","Retweet",0.1,185,"Grand Meadow, MN","Minnesota"
"AgNews_Otto","Retweet",0.1,186,"Northern Illinois","Illinois"
"grimet","Retweet",0.1,187,"","Unknown"
"abhimans","Retweet",0.1,188,"Hyderabad, INDIA","Telangana"
"FabioKPiTTeLkoW","Retweet",0.1,189,"Lucas do Rio Verde","Mato Grosso"
"SampleAgri","Retweet",0.1,190,"Killarney,Manitoba, Canada","Manitoba"
"KatzbergAg","Retweet",0.1,191,"Hastings, NE","Nebraska"
"Tfarmandranch","Retweet",0.1,192,"Norton Co KS&Furnas Co NE","Kansas"
"DavePanko","Both",36,193,"Nebraska, USA","Nebraska"
"MaillouxJosh","Retweet",0.1,194,"Amherstburg","Ontario"
"travis_huls","Retweet",0.1,195,"","Unknown"
"CHeidebrink","Retweet",0.1,196,"","Unknown"
"hayuchad","Retweet",0.1,197,"Viborg SD ","South Dakota"
"gkeurentjes","Retweet",0.1,198,"Henryville","Indiana"
"jimbomanes","Retweet",0.1,199,"","Unknown"
"BrandonVossler","Retweet",0.1,200,"","Unknown"
"B_Ebbers84","Retweet",0.1,201,"","Unknown"
"SeanFintel","Retweet",0.1,202,"Denton, NE","Nebraska"
"rparra11","Retweet",0.1,203,"MÃ©rida, Venezuela","Mérida"
"carlsonmatt88","Retweet",0.1,204,"","Unknown"
"kate_kurtz","Retweet",0.1,205,"","Unknown"
"shiremanseed","Retweet",0.1,206,"La Monte Missouri","Missouri"
"travisdmoore25","Retweet",0.1,207,"Owatonna, MN","Minnesota"
"JulianMuguerza","Retweet",0.1,208,"","Unknown"
"FosterMack","Retweet",0.1,209,"","Unknown"
"Anthony9Preston","Retweet",0.1,210,"Lanark Il","Illinois"
"boilerseedguy","Retweet",0.1,211,"","Unknown"
"perrybrent","Retweet",0.1,212,"Eldora, IA 50627","Iowa"
"1jamiemartin","Both",44,213,"Monmouth / Warren County IL","Illinois"
"bzimmrmn","Retweet",0.1,214,"Groveland, IL","Illinois"
"AgriBruce","Retweet",0.1,215,"","Unknown"
"smbmadden","Retweet",0.1,216,"Eldridge, Iowa","Iowa"
"CarlileAg","Retweet",0.1,217,"Otterbein, IN","Indiana"
"carmanfarmer","Retweet",0.1,218,"Carman MB","Manitoba"
"naimelessauthor","Retweet",0.1,219,NA,"Unknown"
"lance_strange","Retweet",0.1,220,"Rensselaer, IN","Indiana"
"cooker_n","Retweet",0.1,221,NA,"Unknown"
"pukstup","Retweet",0.1,222,"Glenboro, MB","Manitoba"
"balloonrita","Retweet",0.1,223,"Pleasant Hill, Missouri, USA","Missouri"
"mattfawl34","Retweet",0.1,224,"","Unknown"
"3g_seed","Retweet",0.1,225,"Paola, KS","Kansas"
"MBGretz99","Retweet",0.1,226,"","Unknown"
"JeanCaron99","Retweet",0.1,227,"St-Jean-Port-Joli","Québec"
"NayHarley","Retweet",0.1,228,"Souris,MB","Manitoba"
"mcfarmer4","Retweet",0.1,229,"","Unknown"
"PioneerWCanada","Retweet",0.1,230,"Western Canada","British Columbia"
"sloanefarms","Retweet",0.1,231,"","Unknown"
"mertenmf","Retweet",0.1,232,"Austin Mn","Minnesota"
"D_Carpenter41","Retweet",0.1,233,"","Unknown"
"voss_cory","Retweet",0.1,234,"","Unknown"
"PatVanL","Retweet",0.1,235,"","Unknown"
"2Kuehl","Retweet",0.1,236,"","Unknown"
"jlsoukup","Retweet",0.1,237,"Wagner, SD","South Dakota"
"boersmajeff","Both",38,238,"Olivia, Mn","Minnesota"
"ErinErbie","Retweet",0.1,239,"Oak Bluff","Illinois"
"TFrappier","Retweet",0.1,240,"","Unknown"
"FransenFarms","Retweet",0.1,241,"Alpha MN","Minnesota"
"gregdhanson","Retweet",0.1,242,"Watertown, SD","South Dakota"
"FrommRyan","Retweet",0.1,243,"Granite Falls MN","Minnesota"
"daron_small","Retweet",0.1,244,"Lyle, MN","Minnesota"
"GarvickJason","Retweet",0.1,245,"Kiester MN","Minnesota"
"WeirSpencer","Retweet",0.1,246,"","Unknown"
"ScottHanna3","Retweet",0.1,247,"Wabasso, MN","Minnesota"
"tolzinwhitney","Retweet",0.1,248,"","Unknown"
"steve_sieg","Retweet",0.1,249,"","Unknown"
"behrenjeff","Retweet",0.1,250,"","Unknown"
"Phil_FarmLink","Retweet",0.1,251,"110-93 Lombard Ave. Winnipeg","Manitoba"
"JesseOlson1","Retweet",0.1,252,"Murdock MN","Minnesota"
"risrockag","Retweet",0.1,253,"Rockhaven, Sk. Canada","Saskatchewan"
"jbz2332","Retweet",0.1,254,"North Mankato, MN","Minnesota"
"woodclones","Retweet",0.1,255,"","Unknown"
"emily_floryag14","Retweet",0.1,256,"Menomonie, WI","Wisconsin"
"HinrichsMike","Both",51,257,"Shickley NE","Nebraska"
"WieselerAgTech","Retweet",0.1,258,"@wieseleragtechnologies","Unknown"
"brandonmoe1","Retweet",0.1,259,"","Unknown"
"steppler_andre","Retweet",0.1,260,"Miami, Manitoba Canada","Manitoba"
"hybridmaizeman","Retweet",0.1,261,"Lives in Wayne, Nebraska","Nebraska"
"douggy21","Retweet",0.1,262,"","Unknown"
"ncarlsonpioneer","Retweet",0.1,263,"","Unknown"
"_JoshBlum","Retweet",0.1,264,"Seward, NE","Nebraska"
"gavinpopefarms","Retweet",0.1,265,"","Unknown"
"jederickson77","Retweet",0.1,266,"","Unknown"
"ChrisZ22Agron","Retweet",0.1,267,"Northeast Nebraska","Nebraska"
"rifleron","Retweet",0.1,268,"Texas Pioneer ","Texas"
"innovation_ag","Retweet",0.1,269,"Cooperstown ND, 58425","North Dakota"
"Texasagronomo","Retweet",0.1,270,"Austin","Texas"
"LukeStamp","Retweet",0.1,271,"Iowa","Iowa"
"WillemBuitelaar","Retweet",0.1,272,"","Unknown"
"paulanezCCA","Retweet",0.1,273,"","Unknown"
"_JaniceAnderson","Retweet",0.1,274,"Ridgetown, Ontario","Ontario"
"RonGehl","Retweet",0.1,275,"Manhattan, KS","Kansas"
"MichaelMichlig","Retweet",0.1,276,"","Unknown"
"SchirpStephan","Retweet",0.1,277,"Earth","Texas"
"jcalder1983","Retweet",0.1,278,NA,"Unknown"
"timlemmons","Retweet",0.1,279,"","Unknown"
"brandon_ag24","Both",73,280,"Western missouri ","Missouri"
"MMKurtz","Retweet",0.1,281,"","Unknown"
"JosephKeaschall","Retweet",0.1,282,"Lincoln, NE","Nebraska"
"mcclurewm","Retweet",0.1,283,"Lincoln Ne","Nebraska"
"WrageSeed","Retweet",0.1,284,"","Unknown"
"ryjohnso80","Retweet",0.1,285,"Hatton, ND","North Dakota"
"jlhinrichs312","Retweet",0.1,286,"","Unknown"
"KostJeff","Retweet",0.1,287,"","Unknown"
"ZouFan81","Retweet",0.1,288,"","Unknown"
"farmer_bj","Retweet",0.1,289,"Northeast Nebraska","Nebraska"
"PioneerNebr","Retweet",0.1,290,"Nebraska","Nebraska"
"UnverferthMfg","Retweet",0.1,291,"Kalida, OH USA","Ohio"
"NEMOFarmer","Retweet",0.1,292,"","Unknown"
"MizzouRahAmy","Retweet",0.1,293,"","Unknown"
"southern_seed0","Retweet",0.1,294,"Minto, Manitoba","Manitoba"
"Plenish","Retweet",0.1,295,"","Unknown"
"Dbahe1","Retweet",0.1,296,"","Unknown"
"jonbottiger","Retweet",0.1,297,"","Unknown"
"PedersonSeed2","Retweet",0.1,298,"Hiawatha, KS","Kansas"
"marketcrops","Retweet",0.1,299,"Des Moines, IA","Iowa"
"micksterbrau","Retweet",0.1,300,"South Central Nebraska","Nebraska"
"kamficken","Retweet",0.1,301,"","Unknown"
"saathoffseeds","Retweet",0.1,302,"Manteno, IL","Illinois"
"Vermeer1Darrian","Retweet",0.1,303,"RM of Argyle","Manitoba"
"lknuts8","Both",37,304,"Minnesota, USA","Minnesota"
"_JakeMoss_","Retweet",0.1,305,"","Unknown"
"Koch_43","Retweet",0.1,306,"Nebraska, USA","Nebraska"
"CardyCropSol","Retweet",0.1,307,"Minnedosa, MB","Manitoba"
"davisjon_davis","Retweet",0.1,308,"hayfield mn","Minnesota"
"johnsg1","Retweet",0.1,309,"Ong, Ne","Nebraska"
"baldagronomist","Retweet",0.1,310,"","Unknown"
"cdrhill1","Retweet",0.1,311,"Randolph County, IL","Illinois"
"tcunningham10","Retweet",0.1,312,"Central Ohio","Ohio"
"PioneerAgron_IA","Retweet",0.1,313,"Iowa","Iowa"
"GentleSeedSales","Retweet",0.1,314,"Bradford, IL","Illinois"
"BW4MN","Retweet",0.1,315,"Garner, IA","Iowa"
"pioneer4yield","Retweet",0.1,316,"Trimont, MN","Minnesota"
"mickhudd","Retweet",0.1,317,"Canyon, TX","Texas"
"IntelSeed","Retweet",0.1,318,"Oakville, MB ","Manitoba"
"jbrow170","Retweet",0.1,319,"Arpin, Wisconsin","Wisconsin"
"Schippers_andy","Retweet",0.1,320,"","Unknown"
"zwa3413","Retweet",0.1,321,NA,"Unknown"
"degroot_mark","Retweet",0.1,322,"Brookings, SD","South Dakota"
"zackyoungquist","Retweet",0.1,323,"","Unknown"
"alanstuff","Retweet",0.1,324,"Chatham, IL","Illinois"
"Byoder78","Retweet",0.1,325,"","Unknown"
"KraeuterVerbena","Retweet",0.1,326,"Usedom","Unknown"
"DaveHenderson12","Retweet",0.1,327,"Alexandria, Indiana","Indiana"
"VincentMaciej","Both",56,328,"Minnesota, USA","Unknown"
"sassyfarmwife","Retweet",0.1,329,"","Unknown"
"FaithLois12","Retweet",0.1,330,"Wisconsin ","Wisconsin"
"VanillaGohrilla","Retweet",0.1,331,"River Falls, Wisconsin","Wisconsin"
"Matt4ksuMatt","Retweet",0.1,332,"Nebraska, USA","Nebraska"
"MikeStenvold","Retweet",0.1,333,"Thompson , ND","North Dakota"
"rtb175","Retweet",0.1,334,"Wisconsin","Wisconsin"
"michaeldunnCCA","Retweet",0.1,335,"","Unknown"
"Troy_Bauer","Retweet",0.1,336,"Dallas Center, IA","Iowa"
"FarmerForearms","Retweet",0.1,337,"Comfrey MN","Minnesota"
"ridderr56","Retweet",0.1,338,"","Unknown"
"dewey8132","Retweet",0.1,339,"Norfolk, Ne","Nebraska"
"Weberbrisu","Retweet",0.1,340,"Mankato, MN","Minnesota"
"KorusGreg","Retweet",0.1,341,"","Unknown"
"JeffreyBoerboom","Retweet",0.1,342,"Slayton MN ","Minnesota"
"jdemmer","Retweet",0.1,343,"Clarks Grove, MN","Minnesota"
"tcuning","Retweet",0.1,344,"Vankleek Hill, ON","Ontario"
"KellyHerbick","Retweet",0.1,345,"","Unknown"
"SchwabRandy","Retweet",0.1,346,"New Ulm, MN","Minnesota"
"timocroppy","Retweet",0.1,347,"Central Nebraska","Nebraska"
"jemeuretgrain","Retweet",0.1,348,"Brunswick, Ne","Nebraska"
"nckohls","Retweet",0.1,349,"Sedgwick Co., KS","Kansas"
"clo3pioneer","Retweet",0.1,350,"","Unknown"
"dragon_viper","Retweet",0.1,351,"Halstead, Ks ","Kansas"
"SommerJason","Retweet",0.1,352,"Parkston SD","South Dakota"
"ThomasBerkland","Retweet",0.1,353,"","Unknown"
"ttheede","Retweet",0.1,354,"","Unknown"
"kevin_kjr32","Retweet",0.1,355,"","Unknown"
"KevinHoffman63","Retweet",0.1,356,"","Unknown"
"JeffHubl","Retweet",0.1,357,"","Unknown"
"pioneerrichter","Retweet",0.1,358,"","Unknown"
"Buendoch23","Retweet",0.1,359,"","Unknown"
"LizRehberg","Retweet",0.1,360,"Whitewater, WI","Wisconsin"
"CharlieShoemake","Retweet",0.1,361,"Cozad, NE","Nebraska"
"RheaultAg","Retweet",0.1,362,"Hills, MN","Minnesota"
"CTilly33","Retweet",0.1,363,"","Unknown"
"cdressen18","Retweet",0.1,364,"","Unknown"
"bwhite1522","Retweet",0.1,365,"","Unknown"
"rob_brueckner","Retweet",0.1,366,"","Unknown"
"pioneerperry","Retweet",0.1,367,"Osseo, WI","Wisconsin"
"CodyRob1","Retweet",0.1,368,"Wilcox NE","Nebraska"
"bensendaf","Retweet",0.1,369,"Wisconsin, USA","Wisconsin"
"1Huskers18","Retweet",0.1,370,"","Unknown"
"wardynmi","Retweet",0.1,371,"Nebraska, USA","Unknown"
"FastGrassGuy","Retweet",0.1,372,"Dennison,MN ","Minnesota"
"frederickseed","Retweet",0.1,373,"","Unknown"
"FredSchliep","Retweet",0.1,374,"","Unknown"
"redraiderks","Retweet",0.1,375,"Silex, Missouri","Missouri"
"RedRiverMktgCo","Retweet",0.1,376,"Elbow Lake, MN","Minnesota"
"stangme1","Retweet",0.1,377,"","Unknown"
"Qshizzle97","Retweet",0.1,378,"","Unknown"
"tyler_heim14","Retweet",0.1,379,"","Unknown"
"AgTechLaura","Retweet",0.1,380,"Lincoln, NE","Nebraska"
"TylerShalla","Retweet",0.1,381,"Nebraska","Unknown"
"rachelhstevens","Retweet",0.1,382,"","Unknown"
"PedersonSeed","Retweet",0.1,383,"","Unknown"
"MikeCreurer","Retweet",0.1,384,"Regina, sk","Saskatchewan"
"CarolynWilsonAg","Retweet",0.1,385,"Assiniboia, SK","Saskatchewan"
"SpurlingLandon","Retweet",0.1,386,"Shickley, NE","Nebraska"
"RKlewchuk","Retweet",0.1,387,"Regina, SK","Saskatchewan"
"VinceAnez","Retweet",0.1,388,"Little Falls, MN","Minnesota"
"CThaubergerAG","Retweet",0.1,389,"Indian Head, Saskatchewan","Saskatchewan"
"StableNmbmd","Retweet",0.1,390,"1 mile south of Oak bank","Indiana"
"DFotheringham22","Retweet",0.1,391,"Manitoba","Manitoba"
"BrianKFerris","Retweet",0.1,392,"Minnesota","Minnesota"
"09toph","Retweet",0.1,393,"","Unknown"
"ripcord808","Retweet",0.1,394,"Kenyon, MN","Minnesota"
"JohnnyCornSeed","Retweet",0.1,395,"Orillia, Ontario Canada","Ontario"
"MattAddington","Retweet",0.1,396,"Minnesota","Minnesota"
"brockman_keith","Retweet",0.1,397,"essex","England"
"Toddbrady8","Retweet",0.1,398,"Merlin,Ontario,Canada","Ontario"
"ShaneCSR","Retweet",0.1,399,"Brandon Manitoba","Manitoba"
"UkChem","Retweet",0.1,400,"","Unknown"
"joeldang","Retweet",0.1,401,"Iowa","Iowa"
"superlooper7","Retweet",0.1,402,"Highland, KS","Kansas"
"blue_goose_farm","Retweet",0.1,403,"","Unknown"
"PioneerKansas","Retweet",0.1,404,"Kansas ","Kansas"
"PioneerMissouri","Retweet",0.1,405,"Missouri, USA","Missouri"
"Deb24469738","Retweet",0.1,406,"Northeast Nebraska","Nebraska"
"agroinformatik","Retweet",0.1,407,"RÃ­o Cuarto, Argentina","Cordoba"
"218_234","Retweet",0.1,408,"Detroit Lakes, MN","Minnesota"
"Jeremy_OShea","Retweet",0.1,409,"Lucan Biddulph, Ontario","Ontario"
"PankratzPlot","Retweet",0.1,410,"","Unknown"
"gregchandler12","Retweet",0.1,411,"Carberry","Manitoba"
"douche_chong","Retweet",0.1,412,"","Unknown"
"glfiscus","Retweet",0.1,413,"","Unknown"
"JSCropsGuy","Retweet",0.1,414,"Sun Prairie,WI","Wisconsin"
"leo___g","Retweet",0.1,415,"Belle River, Ontario Canada","Ontario"
"EE_NDNews","Retweet",0.1,416,"Nebraska, USA","Nebraska"
"lerowalsh","Retweet",0.1,417,"","Unknown"
"travismckay10","Retweet",0.1,418,"Knapp, Wisconsin","Wisconsin"
"GregHolthaus1","Retweet",0.1,419,"","Unknown"
"PhillipsAgCentr","Retweet",0.1,420,"","Unknown"
"joe_hora","Retweet",0.1,421,"Fort Dodge, IA","Iowa"
"jkwboehm","Retweet",0.1,422,"Central, IL","Illinois"
"TobyBMW","Retweet",0.1,423,"","Unknown"
"JCHINZ","Retweet",0.1,424,"","Unknown"
"skehrke","Retweet",0.1,425,"springfield, NE","Nebraska"
